# DH21 (°Ch) Altitude 400m-800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 14688.4 13156.7 13829.2 12283.3 12095.8 12788.8 13007.7 12240.6
Février 12654.8 11562.7 12378.3 12090.9 12191.7 10569.0 11601.2 8719.2
Mars 10884.9 11177.8 10330.9 10206.4 10140.7 9385.1 9710.8 9039.1
Avril 8709.4 8706.2 7787.0 8742.9 8393.9 7623.4 6609.3 6188.0
Mai 5655.9 6074.9 4637.2 6404.0 6049.8 2289.7 2615.7 -
Juin 3752.7 200.7 2878.9 1878.6 1780.9 - - -
Juillet 1514.0 - - - - - - -
Aout 1607.2 800.8 - - - - - -
Septembre 5340.9 5508.4 1928.1 3112.4 2705.6 2462.9 - -
Octobre 6393.3 6509.3 6634.5 7251.6 6772.0 5232.2 5239.1 2373.2
Novembre 9738.6 11353.8 10593.5 9284.0 10261.9 9558.0 9658.1 8871.0
Décembre 12549.3 13428.5 13860.4 11655.6 12057.0 12511.9 12509.0 10630.7
