# DH21 (°Ch) Altitude ≥ 800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier - 14644.7 15317.2 - - 14276.8 14495.7 13728.6
Février - 12906.7 13722.3 - - 11913.0 12945.2 10063.2
Mars - 12665.8 11818.9 - - 10867.6 11184.6 10526.9
Avril - 8797.7 9216.3 - - 9053.8 7954.2 7620.9
Mai - - 5941.6 - - 6040.0 5432.4 3794.2
Juin - - 939.6 - - 349.7 - -
Juillet - - - - - - - -
Aout - - - - - - - -
Septembre - - 2124.5 - - 569.1 2081.8 -
Octobre - 6307.2 8069.3 - - 6578.0 5999.2 -
Novembre - 12793.8 12033.5 - - 10998.0 11094.3 9786.3
Décembre - 14916.5 15348.4 - - 13999.9 13997.0 12118.7
