# DH19 (°Ch) Altitude 400m-800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 13200.4 11668.7 12341.2 10795.3 10607.8 11300.8 11520.5 10752.6
Février 11310.8 10218.7 11034.3 10746.9 10847.7 9225.0 10257.2 7375.6
Mars 9402.4 9689.8 8843.1 8719.6 8657.9 7919.8 8257.8 7568.3
Avril 7283.3 7285.0 6396.5 7309.9 6967.5 6225.4 5355.9 4804.5
Mai 4359.2 4759.3 3424.8 4964.6 4732.4 1748.7 2038.1 --
Juin 2644.0 152.7 2088.6 1396.7 1309.3 -- -- --
Juillet 1025.7 -- -- -- -- -- -- --
Aout 1095.6 588.9 -- -- -- -- -- --
Septembre 4046.6 4119.6 1398.1 2390.1 2056.2 1887.2 -- --
Octobre 4977.9 5278.8 5280.4 5770.5 5365.9 3962.5 4000.2 1871.3
Novembre 8298.6 9913.8 9154.2 7844.0 8822.0 8128.7 8239.6 7441.6
Décembre 11061.3 11940.5 12372.4 10167.6 10569.0 11023.9 18255.9 9142.7
