# Nref (19°C) Altitude 400m-800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 744 744 744 744 744 744 742 744
Février 672 672 672 672 672 672 672 670
Mars 741 744 743 741 741 726 721 730
Avril 710 700 680 712 704 685 607 670
Mai 635 631 582 706 644 259 277 -
Juin 514 24 375 231 227 - - -
Juillet 216 - - - - - - -
Aout 233 95 - - - - - -
Septembre 621 658 250 346 311 272 - -
Octobre 683 603 652 736 693 617 597 240
Novembre 720 720 718 720 719 709 704 704
Décembre 744 744 744 744 744 744 744 744
