# DH21 (°Ch) Altitude ≥ 800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier - 14644.7 15317.2 - - 14276.8 14495.7 13728.6
Février - 12906.7 13722.3 - - 11913.0 12945.2 10063.2
Mars - 12665.8 11818.9 - - 10867.6 11184.6 10526.9
Avril - 10144.0 9216.3 - - 9053.8 7954.2 7620.9
Mai - 7463.5 5941.6 - - 6040.0 5930.2 4251.3
Juin - 3848.8 3877.5 - - 2118.8 - 1305.1
Juillet - - - - - - - -
Aout - 1049.4 - - - - - -
Septembre - 5913.7 4767.0 - - 3279.2 1774.1 -
Octobre - 7828.3 8069.3 - - 6578.0 5999.2 5807.7
Novembre - 12793.8 12033.5 - - 10998.0 11094.3 10310.8
Décembre - 14916.5 15348.4 - - 13999.9 13997.0 12118.7
