# DH19 (°Ch) Altitude ≥ 800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier - 13156.7 13829.2 - - 12788.8 13007.7 12240.6
Février - 11562.7 12378.3 - - 10569.0 11601.2 8719.2
Mars - 11177.8 10330.9 - - 9385.1 9710.8 9039.1
Avril - 7551.9 7787.0 - - 7623.4 6609.3 6188.0
Mai - - 4637.2 - - 4719.7 4291.0 2768.5
Juin - - 748.3 - - 249.0 - -
Juillet - - - - - - - -
Aout - - - - - - - -
Septembre - - 1612.4 - - 431.0 1585.0 -
Octobre - 5281.6 6634.5 - - 5232.2 4795.3 -
Novembre - 11353.8 10593.5 - - 9558.0 9658.1 8442.5
Décembre - 13428.5 13860.4 - - 12511.9 20887.4 10630.7
